comment_id,text,likeCount,publishedAt,authorDisplayName
Ugw_aX1M864YoM9m1ax4AaABAg,"One thing i will say.. All this money, hustling , entertainment, ipl, Bollywood, everything is zero without a strong defence system.. Indias safety is in danger.. better we realise that as soon as possible",0,2025-05-15T03:40:59Z,@tiscachip
UgxfCkkwxpllMRBnSq94AaABAg,Man of words 🇮🇳🫡,0,2025-05-14T12:49:17Z,@Cayden1610
UgwFUemyLChPWdBzo5l4AaABAg,🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺🐕‍🦺,0,2025-05-13T17:21:11Z,@AwAw-s8v
UgwIivUXm9pnerUW6Cl4AaABAg,👑✝️👍⛪⚓🇲🇲🇲🇲🇲🇲🇲🇲🤝,0,2025-05-13T15:40:30Z,@FLalmawisang
UgwaPc_hpuPdvIMp_LF4AaABAg,👑🤝✝️👍⛪⚓🇲🇲🇲🇲🇲🇲🇲🇲🤝,0,2025-05-13T15:39:38Z,@FLalmawisang
UgzuhzvOfC_jA9mTL0F4AaABAg,Looking back at this after Pakistan kicked his military's ass! 😂,0,2025-05-13T03:57:22Z,@jaykay8295
UgzHCZuF36PEeV09CjN4AaABAg,Lanti joota besharm moodi,0,2025-05-12T23:25:12Z,@ArfanHaider-d2y
Ugzrwr6MaT0j3yL0OU94AaABAg,"Very nice speech,this is the real spirit of pm.",0,2025-05-12T16:29:30Z,@AsifJeelani-y8g
UgyKYMHia77Gt0H6Qe54AaABAg,ಜೈ ಹಿಂದ್. ಜೈ ಭಾರತ.,0,2025-05-12T15:59:12Z,@upendra.nayak.k2615
UgzVNb1rXuUWrcWHfV94AaABAg,🙏🙏🙏🙏🙏ಜೈ ಮೋದಿಜಿ.,0,2025-05-12T15:55:21Z,@upendra.nayak.k2615
UgwRnNmS1fhc6YFsUpp4AaABAg,Kuta dor sa bonqata ha gudar 😅,0,2025-05-12T06:52:31Z,@ilyasjaffari
UgxsGWMcuzKOid1wRgB4AaABAg,Jay hind,0,2025-05-12T06:03:53Z,@vkikumar561
UgzAK8W6OQX1P3zGslF4AaABAg,"इंडिया

😊",0,2025-05-12T06:02:58Z,@vkikumar561
UgzB8LrxQRUc1oVXZRd4AaABAg,Challl oi,0,2025-05-12T05:20:48Z,@SyedwaqarAli-u6w
Ugx2c0jcAent8-0YrHV4AaABAg,Mat kar oi,0,2025-05-12T05:20:08Z,@SyedwaqarAli-u6w
UgwnnkaXveX-RYr6qRh4AaABAg,Juth,0,2025-05-12T05:19:54Z,@SyedwaqarAli-u6w
UgxPg966HEq4WMzVVP94AaABAg,"It’s a disgrace they tried to bully Pakistan on false claims based on their imagination without any evidence. Modi can’t be forgiven, many innocent people died in both countries just because of him.",0,2025-05-11T20:09:43Z,@Haanjii80
UgxHPEhFdIt32ih5OLZ4AaABAg,"It’s a disgrace they tried to bully Pakistan on false claims based on their imagination without any evidence. Modi can’t be forgiven, many innocent people died in both countries just because of him.",0,2025-05-11T20:07:11Z,@Haanjii80
UgyBjIE6kC686K6CuhZ4AaABAg,He is the terrorist who did this for votes,1,2025-05-11T20:01:52Z,@qandeelnaz5735
UgwM5m0FKpECDLtVkvl4AaABAg,Rafale😂,0,2025-05-11T20:01:15Z,@qandeelnaz5735
UgxW3c4MYak0xIrl0Jh4AaABAg,😁😁😁😄😃,0,2025-05-11T18:46:32Z,@SanjaySwain-h4e
UgxUDVg0wX-Wuz1UrdF4AaABAg,Khoty phir band kyun ki Jang.,0,2025-05-11T18:32:53Z,@ShaistaSaud
UgyUeu5emAIF0Lgjeph4AaABAg,Maniye Mantri Shiri Kirishna Gaur DidiJi Jibdabad 👏👏,0,2025-05-11T18:20:42Z,@AmaanKhan-b6w6j
UgxcmXXgNgbqDbuuej94AaABAg,Kitne dogle ho galat news chala te ho ai se bana ke apne nikame fojion ki kamal ki video baana ke dekhate ho but Pakistan ne kya maza chakhaya hai 😂😂,0,2025-05-11T17:59:06Z,@Danllly123
UgxEiThuk2GCr-QnrL94AaABAg,"What a joke?
😂😂😂",0,2025-05-11T16:05:59Z,@azeemulhasan3498
Ugz423Q0M0WxlfGi6Rt4AaABAg,I love you sir❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-05-11T15:35:21Z,@AyanBauri-t4j
UgyNM8kNTykNXu5fc_J4AaABAg,Who all watching after Operation Sindoor..❤❤,0,2025-05-11T14:44:58Z,@alappuzha9
Ugx18bFtYkqvaU1vGrh4AaABAg,पाकिस्तानी लष्करो पर विश्र्वास मत karana,0,2025-05-11T09:50:32Z,@Shree_Ganesh237
